
Factor Profiles (conc. of species) from Base Run #1 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6
1	1-Pentene(ppbC)	1.143085E+001	1.887056E+001	1.804033E+001	2.389401E+001	9.987303E+000	1.777695E+001
1	cis-2-Pentene(ppbC)	1.033188E+001	2.519559E+001	1.264227E+001	2.166576E+001	2.160182E-005	3.016447E+001
1	2,2-Dimethylbutane(ppbC)	1.340128E+001	9.623479E+000	1.548394E+001	3.199525E+001	9.917679E+000	1.957838E+001
1	2,3-Dimethylbutane(ppbC)	1.011848E+001	1.642607E+001	1.363897E+001	2.515874E+001	1.414417E+001	2.051357E+001
1	2-Methylpentane(ppbC)	1.247007E+001	8.258120E+000	1.362199E+001	2.748430E+001	1.030627E+001	2.785924E+001
1	3-Methylpentane(ppbC)	1.198485E+001	8.496503E+000	1.412227E+001	3.070860E+001	1.054861E+001	2.413916E+001
1	Isoprene(ppbC)	0.000000E+000	6.686459E+001	1.937352E+001	7.991465E-001	1.047765E+001	2.485096E+000
1	Methylcyclopentane(ppbC)	1.245813E+001	5.484018E+000	1.453809E+001	3.336144E+001	9.351307E+000	2.480701E+001
1	2,4-Dimethylpentane(ppbC)	2.549188E+001	8.467134E+000	1.669473E+001	2.528794E+001	9.726415E+000	1.433191E+001
1	Benzene(ppbC)	1.467320E+001	1.582746E+001	1.409622E+001	3.498757E+001	1.209409E+001	8.321468E+000
1	Cyclohexane(ppbC)	3.314449E+001	2.852573E-003	1.970056E+001	2.809034E+001	1.236837E+001	6.693398E+000
1	2-Methylhexane(ppbC)	4.879719E+001	1.496530E+000	1.696850E+001	1.382939E+001	7.659981E+000	1.124841E+001
1	2,3-Dimethylpentane(ppbC)	1.194044E+001	1.602735E+001	1.282106E+001	3.998711E+001	9.439876E+000	9.784166E+000
1	3-Methylhexane(ppbC)	1.155182E+001	1.787158E+001	1.248940E+001	3.892823E+001	9.845344E+000	9.313629E+000
1	2,2,4-Trimethylpentane(ppbC)	1.185432E+001	1.602036E+001	1.285308E+001	4.019923E+001	9.474646E+000	9.598357E+000
1	n-Heptane(ppbC)	1.302626E+001	1.645985E+001	1.238159E+001	4.302571E+001	1.180433E+001	3.302257E+000
1	Methylcyclohexane(ppbC)	1.385495E+001	1.280164E+001	1.297328E+001	3.701739E+001	1.091425E+001	1.243850E+001
1	2,3,4-Trimethylpentane(ppbC)	1.348740E+001	7.534995E+000	1.227422E+001	3.582790E+001	1.250095E+001	1.837453E+001
1	Toluene(ppbC)	1.139095E+001	2.325727E+001	1.135047E+001	4.041124E+001	1.175165E+001	1.838419E+000
1	2-Methylheptane(ppbC)	1.236025E+001	1.620118E+001	1.771513E+001	4.836316E+001	4.687622E+000	6.726567E-001
1	3-Methylheptane(ppbC)	1.113087E+001	2.295420E+001	1.058170E+001	4.153916E+001	6.028653E+000	7.765415E+000
1	n-Octane(ppbC)	1.207266E+001	1.919458E+001	9.697377E+000	4.286309E+001	8.020078E+000	8.152215E+000
1	Ethylbenzene(ppbC)	7.676350E+000	1.896533E+001	9.631907E+000	4.561710E+001	9.619878E+000	8.489441E+000
1	m,p-Xylene(ppbC)	1.836431E+001	6.321976E+000	1.018479E+001	3.277574E+001	1.857577E+001	1.377742E+001
1	Styrene(ppbC)	1.409775E+001	1.365467E+001	9.618827E+000	4.211671E+001	1.422634E+001	6.285707E+000
1	o-Xylene(ppbC)	6.759033E+001	2.820173E+001	0.000000E+000	2.935222E-007	4.207866E+000	6.544052E-005
1	n-Nonane(ppbC)	1.561994E+001	1.586218E+001	8.619225E+000	3.747803E+001	1.809439E+001	4.326234E+000
1	Isopropylbenzene(ppbC)	5.712325E+000	2.371998E+001	4.927083E+000	4.284597E+001	1.552917E+001	7.265471E+000
1	n-Propylbenzene(ppbC)	1.309547E+001	8.871305E+000	5.547472E+000	3.189019E+001	3.382597E+001	6.769594E+000
1	m-Ethyltoluene(ppbC)	1.184253E+001	1.433746E+001	6.990009E+000	3.898838E+001	2.526433E+001	2.577279E+000
1	p-Ethyltoluene(ppbC)	1.223986E+001	1.518682E+001	7.845171E+000	4.235756E+001	2.053934E+001	1.831247E+000
