
Factor Profiles (conc. of species) from Base Run #10 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8
10	2,3,4-Trimethylpentane(ppbC)	1.949370E+001	1.998605E+000	7.539208E+000	2.195301E+001	2.539214E+001	5.078428E+000	7.208245E+000	1.133667E+001
10	Toluene(ppbC)	2.940656E+000	1.113758E+001	1.981351E+001	5.024052E+001	2.984010E+000	6.189684E+000	0.000000E+000	6.694049E+000
10	2-Methylheptane(ppbC)	0.000000E+000	1.300063E+001	1.919730E+001	4.200865E+001	8.563162E+000	1.854459E+000	1.363564E-001	1.523944E+001
10	3-Methylheptane(ppbC)	7.078074E+000	7.343483E+000	1.591070E+001	3.597269E+001	2.361626E+001	6.081702E+000	1.733210E+000	2.263876E+000
10	n-Octane(ppbC)	7.243583E+000	6.526130E+000	1.523317E+001	4.227601E+001	1.154717E+001	8.463108E+000	5.957104E-001	8.115110E+000
10	Ethylbenzene(ppbC)	5.444036E+000	4.471424E+000	1.166454E+001	3.466459E+001	1.630058E+001	1.580885E+001	4.164162E+000	7.481815E+000
10	m,p-Xylene(ppbC)	1.344557E+001	4.683623E+000	1.319770E+001	3.357081E+001	6.647723E+000	7.521011E-001	9.863622E+000	1.783884E+001
10	Styrene(ppbC)	6.055996E+000	4.865431E+000	1.873858E+001	3.416568E+001	1.250560E+001	2.125834E+000	7.963815E+000	1.357907E+001
10	o-Xylene(ppbC)	5.355446E-001	0.000000E+000	4.217496E+001	6.372363E+000	0.000000E+000	0.000000E+000	0.000000E+000	5.091713E+001
10	n-Nonane(ppbC)	4.405046E+000	4.573689E+000	2.265062E+001	3.152707E+001	1.158231E+001	1.557928E+000	1.002599E+001	1.367735E+001
10	Isopropylbenzene(ppbC)	6.987543E-001	0.000000E+000	1.280389E+001	2.906446E+001	9.682568E+000	3.109143E+001	7.437798E+000	9.221097E+000
10	n-Propylbenzene(ppbC)	0.000000E+000	6.054461E-001	0.000000E+000	2.267938E+001	0.000000E+000	3.881113E+001	1.834602E+001	1.955803E+001
10	m-Ethyltoluene(ppbC)	1.696167E+000	5.135881E+000	1.995419E+001	3.998080E+001	0.000000E+000	8.229789E+000	1.119542E+001	1.380776E+001
10	p-Ethyltoluene(ppbC)	1.215844E+000	6.045824E+000	1.972945E+001	4.015099E+001	4.232311E+000	6.642095E+000	8.553895E+000	1.342959E+001
10	1,3,5-Trimethylbenzene(ppbC)	9.503271E-001	3.703386E+000	2.287749E+001	3.462817E+001	1.082864E+001	7.351940E+000	1.136574E+001	8.294302E+000
10	o-Ethyltoluene(ppbC)	9.719567E-001	2.961429E+000	2.166018E+001	3.036272E+001	1.798098E+001	7.440352E+000	1.404298E+001	4.579414E+000
10	1,2,4-Trimethylbenzene(ppbC)	1.453267E-001	3.838849E+000	2.100109E+001	3.075707E+001	1.444994E+001	9.073054E+000	1.112341E+001	9.611270E+000
10	n-Decane(ppbC)	1.402666E+000	4.995899E+000	2.409630E+001	2.830484E+001	1.794799E+001	3.261020E-001	1.606870E+001	6.857501E+000
10	1,2,3-Trimethylbenzene(ppbC)	1.019460E+000	1.222004E+000	1.537545E+001	2.566308E+001	1.704556E+001	1.734254E+001	1.584929E+001	6.482611E+000
10	m-Diethylbenzene(ppbC)	1.723915E+000	7.162045E-001	2.767755E+001	2.368707E+001	2.034844E+001	8.157106E+000	1.187705E+001	5.812656E+000
10	p-Diethylbenzene(ppbC)	2.222083E+000	0.000000E+000	2.182353E+001	2.427260E+001	3.013375E+001	5.250731E+000	1.629730E+001	0.000000E+000
10	n-Undecane(ppbC)	1.357165E+000	2.773242E+000	2.090364E+001	3.149931E+001	1.316657E+001	8.307533E+000	1.046458E+001	1.152796E+001
10	n-Dodecane(ppbC)	5.563879E+000	1.007713E+000	1.937535E+001	2.509982E+001	6.034961E+000	7.717934E+000	2.697747E+001	8.222871E+000

Factor Profiles (% of factor total) from Base Run #10 (Convergent Run)

